Pair,Exe1,Time1,Exe2,Time2
[./bicg,./doitgen],./doitgen,17.31,./bicg,0.45
[./bicg,./durbin],./durbin,0.08,./bicg,0.45
[./bicg,./fdtd-2d],./fdtd-2d,95.10,./bicg,0.49
[./bicg,./floyd-warshall],./floyd-warshall,168.61,./bicg,0.48
[./bicg,./gemm],./gemm,45.95,./bicg,0.45
[./bicg,./gemver],./bicg,0.46,./gemver,0.98
[./bicg,./gesummv],./bicg,0.46,./gesummv,0.26
[./bicg,./gramschmidt],./bicg,0.48,./gramschmidt,122.50
[./bicg,./heat-3d],./heat-3d,141.26,./bicg,0.47
[./bicg,./jacobi-1d],./jacobi-1d,0.07,./bicg,0.46
[./bicg,./lu],./lu,293.58,./bicg,0.47
[./bicg,./ludcmp],./ludcmp,279.03,./bicg,0.47
[./bicg,./mvt],./bicg,0.45,./mvt,0.71
[./bicg,./nussinov],./bicg,0.44,./nussinov,189.67
[./bicg,./symm],./symm,70.45,./bicg,0.48
[./bicg,./syr2k],./bicg,0.46,./syr2k,227.11
[./bicg,./syrk],./bicg,0.45,./syrk,39.34
[./bicg,./trisolv],./trisolv,0.23,./bicg,0.46
[./bicg,./trmm],./bicg,0.46,./trmm,43.76
[./cholesky,./correlation],./correlation,109.34,./cholesky,749.06
[./cholesky,./covariance],./covariance,107.99,./cholesky,744.13
[./cholesky,./deriche],./deriche,7.47,./cholesky,780.61
[./cholesky,./doitgen],./doitgen,16.04,./cholesky,661.68
[./cholesky,./durbin],./durbin,0.09,./cholesky,623.03
[./cholesky,./fdtd-2d],./fdtd-2d,108.59,./cholesky,715.24
[./cholesky,./floyd-warshall],./floyd-warshall,185.70,./cholesky,712.65
[./cholesky,./gemm],./gemm,48.95,./cholesky,670.54
[./cholesky,./gemver],./gemver,1.08,./cholesky,687.62
[./cholesky,./gesummv],./gesummv,0.26,./cholesky,709.34
[./cholesky,./gramschmidt],./gramschmidt,150.71,./cholesky,716.04
[./cholesky,./heat-3d],./heat-3d,163.41,./cholesky,703.99
[./cholesky,./jacobi-1d],./jacobi-1d,0.07,./cholesky,640.38
[./cholesky,./lu],./lu,318.19,./cholesky,721.08
[./cholesky,./ludcmp],./ludcmp,334.62,./cholesky,721.92
[./cholesky,./mvt],./mvt,0.80,./cholesky,700.93
[./cholesky,./nussinov],./nussinov,210.56,./cholesky,682.56
[./cholesky,./symm],./symm,89.24,./cholesky,702.88
[./cholesky,./syr2k],./syr2k,305.15,./cholesky,712.18
[./cholesky,./syrk],./syrk,38.65,./cholesky,709.99
[./cholesky,./trisolv],./trisolv,0.23,./cholesky,687.86
[./cholesky,./trmm],./trmm,49.90,./cholesky,695.12
[./correlation,./covariance],./covariance,113.06,./correlation,113.46
[./correlation,./deriche],./deriche,7.25,./correlation,113.33
[./correlation,./doitgen],./doitgen,18.03,./correlation,79.74
[./correlation,./durbin],./durbin,0.08,./correlation,73.87
[./correlation,./fdtd-2d],./fdtd-2d,109.50,./correlation,112.35
[./correlation,./floyd-warshall],./floyd-warshall,179.15,./correlation,99.77
[./correlation,./gemm],./gemm,46.06,./correlation,86.02
[./correlation,./gemver],./gemver,1.05,./correlation,92.25
[./correlation,./gesummv],./gesummv,0.26,./correlation,93.22
[./correlation,./gramschmidt],./gramschmidt,148.91,./correlation,104.92
[./correlation,./heat-3d],./heat-3d,162.81,./correlation,97.07
[./correlation,./jacobi-1d],./jacobi-1d,0.07,./correlation,76.08
[./correlation,./lu],./lu,339.85,./correlation,99.83
[./correlation,./ludcmp],./ludcmp,335.07,./correlation,98.43
[./correlation,./mvt],./mvt,0.75,./correlation,94.73
[./correlation,./nussinov],./correlation,86.03,./nussinov,193.97
[./correlation,./symm],./symm,92.25,./correlation,103.28
[./correlation,./syr2k],./correlation,99.35,./syr2k,264.88
[./correlation,./syrk],./syrk,43.38,./correlation,87.08
[./correlation,./trisolv],./trisolv,0.22,./correlation,91.27
[./correlation,./trmm],./correlation,93.26,./trmm,47.36
[./covariance,./deriche],./deriche,7.37,./covariance,110.69
[./covariance,./doitgen],./doitgen,17.62,./covariance,80.16
[./covariance,./durbin],./durbin,0.08,./covariance,81.18
[./covariance,./fdtd-2d],./fdtd-2d,108.25,./covariance,114.47
[./covariance,./floyd-warshall],./floyd-warshall,178.40,./covariance,100.30
[./covariance,./gemm],./gemm,49.18,./covariance,82.00
[./covariance,./gemver],./gemver,1.06,./covariance,92.44
[./covariance,./gesummv],./gesummv,0.26,./covariance,92.15
[./covariance,./gramschmidt],./gramschmidt,151.14,./covariance,102.68
[./covariance,./heat-3d],./heat-3d,166.03,./covariance,98.04
[./covariance,./jacobi-1d],./jacobi-1d,0.07,./covariance,74.95
[./covariance,./lu],./lu,335.83,./covariance,100.80
[./covariance,./ludcmp],./ludcmp,314.84,./covariance,101.35
[./covariance,./mvt],./mvt,0.77,./covariance,93.14
[./covariance,./nussinov],./covariance,86.42,./nussinov,191.65
[./covariance,./symm],./symm,93.06,./covariance,100.77
[./covariance,./syr2k],./covariance,95.74,./syr2k,275.69
[./covariance,./syrk],./syrk,41.62,./covariance,86.96
[./covariance,./trisolv],./trisolv,0.22,./covariance,89.61
[./covariance,./trmm],./covariance,95.63,./trmm,48.49
[./deriche,./doitgen],./doitgen,16.49,./deriche,6.02
[./deriche,./durbin],./durbin,0.08,./deriche,5.53
[./deriche,./fdtd-2d],./fdtd-2d,110.71,./deriche,7.44
[./deriche,./floyd-warshall],./floyd-warshall,194.23,./deriche,7.19
[./deriche,./gemm],./gemm,51.79,./deriche,6.33
[./deriche,./gemver],./gemver,1.07,./deriche,6.93
[./deriche,./gesummv],./gesummv,0.27,./deriche,6.84
[./deriche,./gramschmidt],./deriche,7.11,./gramschmidt,153.72
[./deriche,./heat-3d],./heat-3d,170.54,./deriche,7.26
[./deriche,./jacobi-1d],./jacobi-1d,0.07,./deriche,5.44
[./deriche,./lu],./lu,345.02,./deriche,7.06
[./deriche,./ludcmp],./ludcmp,322.65,./deriche,7.06
[./deriche,./mvt],./mvt,0.81,./deriche,6.79
[./deriche,./nussinov],./deriche,6.09,./nussinov,215.38
[./deriche,./symm],./symm,89.70,./deriche,7.42
[./deriche,./syr2k],./deriche,6.90,./syr2k,296.03
[./deriche,./syrk],./syrk,43.58,./deriche,6.57
[./deriche,./trisolv],./trisolv,0.23,./deriche,6.64
[./deriche,./trmm],./trmm,48.62,./deriche,6.59
[./doitgen,./durbin],./durbin,0.08,./doitgen,16.92
[./doitgen,./fdtd-2d],./doitgen,17.17,./fdtd-2d,94.70
[./doitgen,./floyd-warshall],./doitgen,15.99,./floyd-warshall,164.64
[./doitgen,./gemm],./doitgen,15.59,./gemm,45.98
[./doitgen,./gemver],./doitgen,15.82,./gemver,0.93
[./doitgen,./gesummv],./doitgen,17.66,./gesummv,0.24
